"","group","playerID","round","contribution","Payoff","TotalPayoff","age","colorPreference","gender","major"
"1"," 4",556,"1",0,16.5,16.5,31,"blue","male","compscie"
"2"," 4",556,"2",0,13,29.5,31,"blue","male","compscie"
"3"," 4",556,"3",0,15.5,45,31,"blue","male","compscie"
"4"," 4",556,"4",0,17,62,31,"blue","male","compscie"
"5"," 4",556,"5",0,17.5,79.5,31,"blue","male","compscie"
"6"," 1",213,"1",0,14.5,14.5,31,"blue","male","compscie"
"7"," 1",213,"2",0,14.5,29,31,"blue","male","compscie"
"8"," 1",213,"3",0,15,44,31,"blue","male","compscie"
"9"," 1",213,"4",0,10,54,31,"blue","male","compscie"
"10"," 1",213,"5",0,10,64,31,"blue","male","compscie"
"11","10",214,"1",4,17,17,23,"blue","female","infosys"
"12","10",214,"2",5,7.5,24.5,23,"blue","female","infosys"
"13","10",214,"3",3,8.5,33,23,"blue","female","infosys"
"14","10",214,"4",10,9.5,42.5,23,"blue","female","infosys"
"15","10",214,"5",8,7,49.5,23,"blue","female","infosys"
"16"," 8",234,"1",10,13,13,23,"red","male","infosys"
"17"," 8",234,"2",7,17.5,30.5,23,"red","male","infosys"
"18"," 8",234,"3",7,16.5,47,23,"red","male","infosys"
"19"," 8",234,"4",10,15,62,23,"red","male","infosys"
"20"," 8",234,"5",1,19.5,81.5,23,"red","male","infosys"
"21"," 5",236,"1",7,14.5,14.5,24,"blue","male","infosys"
"22"," 5",236,"2",5,19.5,34,24,"blue","male","infosys"
"23"," 5",236,"3",5,17.5,51.5,24,"blue","male","infosys"
"24"," 5",236,"4",5,17,68.5,24,"blue","male","infosys"
"25"," 5",236,"5",1,18.5,87,24,"blue","male","infosys"
"26"," 9",251,"1",5,12.5,12.5,24,"red","female","other"
"27"," 9",251,"2",0,15.5,28,24,"red","female","other"
"28"," 9",251,"3",2,16,44,24,"red","female","other"
"29"," 9",251,"4",1,18.5,62.5,24,"red","female","other"
"30"," 9",251,"5",2,15.5,78,24,"red","female","other"
"31"," 7",257,"1",5,16,16,23,"red","male","business"
"32"," 7",257,"2",8,14,30,23,"red","male","business"
"33"," 7",257,"3",7,16,46,23,"red","male","business"
"34"," 7",257,"4",8,16,62,23,"red","male","business"
"35"," 7",257,"5",8,12,74,23,"red","male","business"
"36"," 7",263,"1",3,18,18,23,"blue","female","business"
"37"," 7",263,"2",6,16,34,23,"blue","female","business"
