"","group","playerID","round","contribution","Payoff","TotalPayoff","age","colorPreference","gender","major"
"1","2",569,"1",0,15,15,35,"blue","male","business"
"2","2",569,"2",0,15,30,35,"blue","male","business"
"3","2",569,"3",0,15,45,35,"blue","male","business"
"4","2",569,"4",0,15,60,35,"blue","male","business"
"5","2",569,"5",0,15,75,35,"blue","male","business"
"6","1",570,"1",7,14.5,14.5,38,"red","female","business"
"7","1",570,"2",7,16,30.5,38,"red","female","business"
"8","1",570,"3",9,19.5,50,38,"red","female","business"
"9","1",570,"4",10,19.5,69.5,38,"red","female","business"
"10","1",570,"5",10,19,88.5,38,"red","female","business"
"11","4",571,"1",6,14.5,14.5,41,"blue","male","business"
"12","4",571,"2",2,16.5,31,41,"blue","male","business"
"13","4",571,"3",8,15,46,41,"blue","male","business"
"14","4",571,"4",8,11,57,41,"blue","male","business"
"15","4",571,"5",9,10.5,67.5,41,"blue","male","business"
"16","3",572,"1",1,14,14,36,"blue","female","business"
"17","3",572,"2",5,12,26,36,"blue","female","business"
"18","3",572,"3",3,13,39,36,"blue","female","business"
"19","3",572,"4",7,11,50,36,"blue","female","business"
"20","3",572,"5",10,9.5,59.5,36,"blue","female","business"
"21","2",573,"1",10,5,5,40,"blue","male","business"
"22","2",573,"2",10,5,10,40,"blue","male","business"
"23","2",573,"3",10,5,15,40,"blue","male","business"
"24","2",573,"4",10,5,20,40,"blue","male","business"
"25","2",573,"5",10,5,25,40,"blue","male","business"
"26","1",576,"1",4,17.5,17.5,41,"blue","female","other"
"27","1",576,"2",6,17,34.5,41,"blue","female","other"
"28","1",576,"3",10,18.5,53,41,"blue","female","other"
"29","1",576,"4",10,19.5,72.5,41,"blue","female","other"
"30","1",576,"5",10,19,91.5,41,"blue","female","other"
"31","1",577,"1",10,11.5,11.5,32,"blue","male","econ"
"32","1",577,"2",10,13,24.5,32,"blue","male","econ"
"33","1",577,"3",10,18.5,43,32,"blue","male","econ"
"34","1",577,"4",10,19.5,62.5,32,"blue","male","econ"
"35","1",577,"5",10,19,81.5,32,"blue","male","econ"
"36","3",578,"1",0,15,15,34,"blue","female","other"
"37","3",578,"2",0,17,32,34,"blue","female","other"
"38","3",578,"3",0,16,48,34,"blue","female","other"
"39","3",578,"4",0,48,48,34,"blue","female","other"
"40","3",578,"5",0,19.5,67.5,34,"blue","female","other"
"41","4",580,"1",NA,20.5,20.5,34,"blue","female","other"
"42","1",581,"1",2,0,0,31,"blue","female","econ"
"43","1",581,"2",3,20,20,31,"blue","female","econ"
"44","1",581,"3",8,20.5,40.5,31,"blue","female","econ"
"45","1",581,"4",9,20.5,61,31,"blue","female","econ"
"46","1",581,"5",8,21,82,31,"blue","female","econ"
"47","3",582,"1",9,6,6,46,"blue","male","econ"
"48","3",582,"2",9,8,14,46,"blue","male","econ"
"49","3",582,"3",9,7,21,46,"blue","male","econ"
"50","3",582,"4",9,9,30,46,"blue","male","econ"
"51","3",582,"5",9,10.5,40.5,46,"blue","male","econ"
"52","4",583,"1",10,10.5,10.5,28,"blue","female","econ"
"53","4",583,"2",10,10.5,10.5,28,"blue","female","econ"
"54","4",583,"3",10,13,23.5,28,"blue","female","econ"
"55","4",583,"4",10,9,32.5,28,"blue","female","econ"
"56","4",583,"5",10,9.5,42,28,"blue","female","econ"
"57","4",584,"1",5,15.5,15.5,23,"blue","none","infosys"
"58","4",584,"2",5,13.5,29,23,"blue","none","infosys"
"59","4",584,"3",8,15,44,23,"blue","none","infosys"
"60","4",584,"4",NA,11,55,23,"blue","none","infosys"
"61","4",584,"5",NA,11.5,66.5,23,"blue","none","infosys"
"62","5",585,"1",9,11.5,11.5,49,"red","male","other"
"63","5",585,"2",6,14,25.5,49,"red","male","other"
"64","5",585,"3",3,17,42.5,49,"red","male","other"
"65","5",585,"4",5,17.5,60,49,"red","male","other"
"66","5",585,"5",10,12.5,72.5,49,"red","male","other"
"67","5",586,"1",0,20.5,20.5,35,"red","male","business"
"68","5",586,"2",0,20,40.5,35,"red","male","business"
"69","5",586,"3",0,20,60.5,35,"red","male","business"
"70","5",586,"4",0,22.5,83,35,"red","male","business"
"71","5",586,"5",0,22.5,105.5,35,"red","male","business"
"72","5",587,"1",2,18.5,18.5,43,"blue","male","other"
"73","5",587,"2",4,16,34.5,43,"blue","male","other"
"74","5",587,"3",7,13,47.5,43,"blue","male","other"
"75","5",587,"4",10,12.5,60,43,"blue","male","other"
"76","5",587,"5",10,12.5,72.5,43,"blue","male","other"
"77","5",588,"1",10,10.5,10.5,45,"blue","male","business"
"78","5",588,"2",10,10,20.5,45,"blue","male","business"
"79","5",588,"3",10,10,30.5,45,"blue","male","business"
"80","5",588,"4",10,12.5,43,45,"blue","male","business"
"81","5",588,"5",5,17.5,60.5,45,"blue","male","business"
"82","6",589,"1",9,12.5,12.5,45,"blue","diverse","business"
"83","6",589,"2",9,16,28.5,45,"blue","diverse","business"
"84","6",589,"3",10,15,43.5,45,"blue","diverse","business"
"85","6",589,"4",10,7.5,51,45,"blue","diverse","business"
"86","6",589,"5",10,10,61,45,"blue","diverse","business"
"87","6",590,"1",0,21.5,21.5,42,"blue","male","other"
"88","6",590,"2",10,15,36.5,42,"blue","male","other"
"89","6",590,"3",9,16,52.5,42,"blue","male","other"
"90","6",590,"4",0,17.5,70,42,"blue","male","other"
"91","6",590,"5",0,20,90,42,"blue","male","other"
"92","6",591,"1",10,11.5,11.5,33,"blue","female","other"
"93","6",591,"2",10,15,26.5,33,"blue","female","other"
"94","6",591,"3",10,15,41.5,33,"blue","female","other"
"95","6",591,"4",5,12.5,54,33,"blue","female","other"
"96","6",591,"5",10,10,64,33,"blue","female","other"
"97","6",592,"1",4,17.5,17.5,43,"blue","male","business"
"98","6",592,"2",1,24,41.5,43,"blue","male","business"
"99","6",592,"3",1,24,65.5,43,"blue","male","business"
"100","6",592,"4",0,17.5,83,43,"blue","male","business"
"101","6",592,"5",0,20,103,43,"blue","male","business"
"102","7",593,"1",10,15.5,15.5,46,"blue","female","econ"
"103","7",593,"2",10,15,30.5,46,"blue","female","econ"
"104","7",593,"3",10,15.5,46,46,"blue","female","econ"
"105","7",593,"4",9,11,57,46,"blue","female","econ"
"106","7",593,"5",10,11,68,46,"blue","female","econ"
"107","7",594,"1",4,21.5,21.5,28,"blue","male","econ"
"108","7",594,"2",10,15,36.5,28,"blue","male","econ"
"109","7",594,"3",10,15.5,52,28,"blue","male","econ"
"110","7",594,"4",1,19,71,28,"blue","male","econ"
"111","7",594,"5",2,19,90,28,"blue","male","econ"
"112","7",596,"1",8,17.5,17.5,39,"blue","male","business"
"113","7",596,"2",10,15,32.5,39,"blue","male","business"
"114","7",596,"3",10,15.5,48,39,"blue","male","business"
"115","7",596,"4",10,10,58,39,"blue","male","business"
"116","7",596,"5",10,11,69,39,"blue","male","business"
"117","7",597,"1",9,16.5,16.5,23,"blue","male","infosys"
"118","7",597,"2",NA,16,32.5,23,"blue","male","infosys"
"119","7",597,"3",1,24.5,57,23,"blue","male","infosys"
"120","7",597,"4",0,20,77,23,"blue","male","infosys"
"121","7",597,"5",0,21,98,23,"blue","male","infosys"
"122","8",598,"1",2,17,17,39,"blue","male","business"
"123","8",598,"2",5,17,34,39,"blue","male","business"
"124","8",598,"3",7,16.5,50.5,39,"blue","male","business"
"125","8",598,"4",6,15,65.5,39,"blue","male","business"
"126","8",598,"5",5,13.5,79,39,"blue","male","business"
"127","8",600,"1",6,13,13,39,"blue","male","business"
"128","8",600,"2",4,18,31,39,"blue","male","business"
"129","8",600,"3",4,19.5,50.5,39,"blue","male","business"
"130","8",600,"4",5,16,66.5,39,"blue","male","business"
"131","8",600,"5",6,12.5,79,39,"blue","male","business"
"132","8",601,"1",5,14,14,37,"red","female","infosys"
"133","8",601,"2",5,17,31,37,"red","female","infosys"
"134","8",601,"3",10,13.5,44.5,37,"red","female","infosys"
"135","8",601,"4",10,11,55.5,37,"red","female","infosys"
"136","8",601,"5",5,13.5,69,37,"red","female","infosys"
